Year,S&P,T_Bill,T_Bond,Corporate_Bond,Housing,Inflation
1928,0.438111552,0.0308,0.008354709,0.032195515,0.014910639,-0.0115218
1929,-0.082979466,0.0316,0.042038042,0.030178562,-0.020568075,0
1930,-0.251236364,0.0455,0.045409314,0.005397809,-0.042999993,-0.026712
1931,-0.438375489,0.0231,-0.02558856,-0.156807751,-0.081504822,-0.0893214
1932,-0.086423645,0.0107,0.08790307,0.235896017,-0.104664277,-0.1030137
1933,0.499822254,0.0096,0.018552721,0.129668937,-0.03811948,-0.0519243
1934,-0.011885657,0.002783333,0.079634426,0.188164293,0.029062073,0.0347938
1935,0.467404211,0.001675,0.044720477,0.133077319,0.097658281,0.0255293
1936,0.319434103,0.001725,0.050178754,0.113838159,0.032186067,0.0103218
1937,-0.353367288,0.002758333,0.013791461,-0.044161917,0.025633982,0.0372596
1938,0.29282654,0.00065,0.042132485,0.092358817,-0.008736958,-0.0202781
1939,-0.010975647,0.000458333,0.044122614,0.079831378,-0.013016039,-0.0130101
1940,-0.106728732,0.000358333,0.054024816,0.086481372,0.033066027,0.0071899
1941,-0.127714556,0.001291667,-0.020221976,0.050071729,-0.08384617,0.05116
1942,0.191737629,0.003425,0.022948682,0.05179901,0.033330352,0.1092247
1943,0.250613101,0.0038,0.0249,0.080446701,0.114462697,0.0596939
1944,0.190306769,0.0038,0.025776112,0.065658636,0.165842294,0.0163698
1945,0.358210843,0.0038,0.038044173,0.067998655,0.117773756,0.022738
1946,-0.084291475,0.0038,0.031283745,0.02508033,0.241016724,0.0847615
1947,0.052,0.006008333,0.009196968,0.002621202,0.212638354,0.1438941
1948,0.057045752,0.01045,0.019510369,0.034369596,0.020585429,0.0768944
1949,0.183032237,0.01115,0.046634852,0.053773011,0.000893719,-0.0097054
1950,0.30805539,0.012033333,0.004295957,0.042388173,0.0364039,0.0108505
1951,0.23678463,0.015175,-0.002953139,-0.001909809,0.060476642,0.0786011
1952,0.181509886,0.017225,0.022679962,0.044412415,0.044066304,0.0227929
1953,-0.012082047,0.018908333,0.041438403,0.016201124,0.115166247,0.0081607
1954,0.525633212,0.009383333,0.032898035,0.061579052,0.009227058,0.0031133
1955,0.325973319,0.01725,-0.013364391,0.0204469,0,-0.0027933
1956,0.074395119,0.026275,-0.022557738,-0.023526542,0.009142698,0.0152505
1957,-0.104573602,0.03225,0.067970128,-0.007189284,0.027180282,0.0334151
1958,0.43719955,0.017708333,-0.020990182,0.064300929,0.006615432,0.0272916
1959,0.120564572,0.033858333,-0.026466313,0.015743431,0.001095106,0.0101068
1960,0.003365353,0.028833333,0.116395037,0.066631872,0.007658674,0.0145798
